"id","ball_num","base_num","subseq_num","frequency"
5765,7,15,42,2
5766,7,15,44,1
5767,7,15,45,2
5768,7,15,47,1
5769,7,16,1,2
5770,7,16,2,1
5771,7,16,3,2
5772,7,16,5,1
5773,7,16,6,2
5774,7,16,7,1
5775,7,16,8,3
5776,7,16,10,3
5777,7,16,11,6
5778,7,16,13,2
5779,7,16,15,2
5780,7,16,16,5
5781,7,16,17,1
5782,7,16,18,2
5783,7,16,19,1
5784,7,16,20,1
5785,7,16,21,1
5786,7,16,22,3
5787,7,16,24,4
5788,7,16,25,2
5789,7,16,27,3
5790,7,16,28,1
5791,7,16,31,2
5792,7,16,33,1
5793,7,16,34,2
5794,7,16,35,2
5795,7,16,36,3
5796,7,16,37,1
5797,7,16,38,2
5798,7,16,39,3
5799,7,16,40,1
5800,7,16,41,2
5801,7,16,42,2
5802,7,16,43,6
5803,7,16,45,1
5804,7,16,46,2
5805,7,16,47,4
5806,7,16,49,1
5807,7,17,1,1
5808,7,17,2,1
5809,7,17,3,3
5810,7,17,5,1
5811,7,17,6,1
5812,7,17,7,2
5813,7,17,8,5
5814,7,17,9,1
5815,7,17,11,1
5816,7,17,12,1
5817,7,17,13,4
5818,7,17,15,3
5819,7,17,16,1
5820,7,17,17,3
5821,7,17,18,2
5822,7,17,19,2
5823,7,17,21,4
5824,7,17,22,4
5825,7,17,23,3
5826,7,17,24,1
5827,7,17,25,2
5828,7,17,26,5
5829,7,17,27,2
5830,7,17,28,1
5831,7,17,30,3
5832,7,17,31,2
5833,7,17,33,2
5834,7,17,34,3
5835,7,17,37,1
5836,7,17,39,3
5837,7,17,40,4
5838,7,17,41,3
5839,7,17,42,2
5840,7,17,43,2
5841,7,17,44,1
5842,7,17,47,3
5843,7,17,48,2
5844,7,17,49,1
5845,7,18,1,1
5846,7,18,2,5
5847,7,18,3,3
5848,7,18,4,2
5849,7,18,5,4
5850,7,18,6,1
5851,7,18,7,4
5852,7,18,9,4
5853,7,18,10,1
5854,7,18,11,2
5855,7,18,12,2
5856,7,18,13,1
5857,7,18,14,1
5858,7,18,15,2
5859,7,18,16,1
5860,7,18,17,1
5861,7,18,18,1
5862,7,18,20,2
5863,7,18,21,3
5864,7,18,22,2
5865,7,18,23,2
5866,7,18,24,5
5867,7,18,25,6
5868,7,18,29,2
5869,7,18,30,1
5870,7,18,31,2
5871,7,18,32,3
5872,7,18,33,2
5873,7,18,34,1
5874,7,18,35,3
5875,7,18,36,3
5876,7,18,38,1
5877,7,18,39,5
5878,7,18,40,2
5879,7,18,42,1
5880,7,18,43,1
5881,7,18,44,2
5882,7,18,45,1
5883,7,18,46,1
5884,7,18,48,3
5885,7,18,49,3
5886,7,19,1,2
5887,7,19,2,1
5888,7,19,3,1
5889,7,19,4,4
5890,7,19,5,3
5891,7,19,6,1
5892,7,19,7,2
5893,7,19,8,1
5894,7,19,9,3
5895,7,19,10,2
5896,7,19,11,2
5897,7,19,13,4
5898,7,19,14,1
5899,7,19,15,2
5900,7,19,16,1
5901,7,19,17,1
5902,7,19,18,3
5903,7,19,20,2
5904,7,19,21,1
5905,7,19,23,1
5906,7,19,24,2
5907,7,19,25,1
5908,7,19,26,1
5909,7,19,28,2
5910,7,19,29,1
5911,7,19,30,1
5912,7,19,31,3
5913,7,19,32,1
5914,7,19,33,1
5915,7,19,34,3
5916,7,19,35,2
5917,7,19,37,3
5918,7,19,38,3
5919,7,19,39,1
5920,7,19,41,1
5921,7,19,42,2
